Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Fixed Date
127,Lego Star Wars: The Force Awakens,2016,Action-Adventure,Warner Bros. Interactive Entertainment,0.24,0.22,0,0.04,0.5,1/1/2016
128,Mad Max (2013),2015,Action,Warner Bros. Interactive Entertainment,0.29,0.16,0,0.05,0.5,1/1/2015
129,LEGO Marvel's Avengers,2016,Action,Warner Bros. Interactive Entertainment,0.26,0.18,0,0.04,0.48,1/1/2016
130,Zoo Tycoon (2013),2013,Simulation,Microsoft Studios,0.25,0.18,0,0.04,0.48,1/1/2013
131,Steep,2016,Sports,Ubisoft,0.24,0.2,0,0.04,0.48,1/1/2016
132,Thief 4,2014,Action,Square Enix,0.26,0.17,0,0.04,0.48,1/1/2014
133,Just Dance 2014,2013,Music,Ubisoft,0.31,0.12,0,0.04,0.48,1/1/2013
134,EA Sports UFC,2014,Fighting,Electronic Arts,0.3,0.13,0,0.04,0.48,1/1/2014
135,BioShock The Collection,2016,Shooter,2K Games,0.35,0.08,0,0.05,0.48,1/1/2016
136,Dragon Ball: Xenoverse 2,2016,Action,Namco Bandai Games,0.33,0.09,0,0.05,0.47,1/1/2016
137,ARK: Survival Evolved,2017,Action-Adventure,Studio Wildcard,0.3,0.12,0,0.04,0.46,1/1/2017
138,Disney Infinity 3.0,2015,Action,Disney Interactive Studios,0.3,0.12,0,0.04,0.46,1/1/2015
139,Prey (2017),2017,Shooter,Bethesda Softworks,0.21,0.2,0,0.04,0.45,1/1/2017
140,Skylanders: Trap Team,2014,Platform,Activision,0.34,0.07,0,0.04,0.45,1/1/2014
141,Lego Batman 3: Beyond Gotham,2014,Action,Warner Bros. Interactive Entertainment,0.24,0.17,0,0.04,0.44,1/1/2014
142,EA Sports UFC 3,2018,Sports,EA Sports,0.3,0.1,0,0.04,0.44,1/1/2018
143,Rocksmith 2014,2014,Music,Ubisoft,0.31,0.08,0,0.04,0.43,1/1/2014
144,Sniper Elite 3,2014,Shooter,505 Games,0.27,0.12,0,0.04,0.43,1/1/2014
145,Hello Neighbor,2017,Action,Gearbox Software,0.27,0.11,0,0.04,0.42,1/1/2017
146,NHL 15,2014,Sports,EA Sports,0.32,0.06,0,0.04,0.42,1/1/2014
147,Project CARS,2015,Racing,Bandai Namco Games,0.21,0.16,0,0.04,0.41,1/1/2015
148,Destiny: The Collection,2016,Shooter,Activision,0.25,0.12,0,0.04,0.41,1/1/2016
149,Skylanders: SuperChargers,2015,Action-Adventure,Activision,0.31,0.05,0,0.04,0.4,1/1/2015
150,Deus Ex: Mankind Divided,2016,Role-Playing,Square Enix,0.25,0.11,0,0.04,0.39,1/1/2016
